id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,Ind,sigma_m,discount.1,model,precision,timeout,mean_G
3b57963970,4.63,3684.98,10016,0.0115956,  Preset timeout reached,101,101,101,0.99,2017-10-17 14:20:21,37,0.05,0.99,logistic,1e-18,10000,0.0289607203900431
3d2a18b23a,4.59,4164.14,10053,0.0208012,  Preset timeout reached,101,101,101,0.99,2017-10-17 14:31:09,47,0.05,0.99,logistic,1e-18,10000,0.0347686381017099
3757963970,4.39,3701.53,10026.6,0.025882,  Preset timeout reached,101,101,101,0.99,2017-10-17 14:46:34,33,0.05,0.99,logistic,1e-18,10000,0.0277827716851807
3c57963970,4.59,8607.19,10003.5,2.22147,  Preset timeout reached,101,101,101,0.99,2017-10-17 14:54:14,38,0.05,0.99,logistic,1e-18,10000,0.2
3a57963970,4.7,5718.39,10004,0.0241865,  Preset timeout reached,101,101,101,0.99,2017-10-17 15:59:45,36,0.05,0.99,logistic,1e-18,10000,0.0551401389622716
392a18b23a,4.81,11514.41,11514.5,2421.92,  Preset timeout reached,101,101,101,0.99,2017-10-17 16:41:33,43,0.05,0.99,logistic,1e-18,10000,0.2
382a18b23a,4.78,12200.94,12201,3680.33,  Preset timeout reached,101,101,101,0.99,2017-10-17 16:53:04,42,0.05,0.99,logistic,1e-18,10000,0.2
3b2a18b23a,4.83,10322.07,10322.1,0.444985,  Preset timeout reached,101,101,101,0.99,2017-10-17 17:21:47,45,0.05,0.99,logistic,1e-18,10000,0.129361982028007
372a18b23a,4.1,2061,10010,0.00700083,  Preset timeout reached,101,101,101,0.99,2017-10-17 17:40:42,41,0.05,0.99,logistic,1e-18,10000,0.00807774066240035
3c2a18b23a,4.68,6415.3,10003,0.0310207,  Preset timeout reached,101,101,101,0.99,2017-10-17 17:50:21,46,0.05,0.99,logistic,1e-18,10000,0.0561112741129806
3e2a18b23a,4.86,13464.59,13464.7,2981.56,  Preset timeout reached,101,101,101,0.99,2017-10-17 18:10:19,48,0.05,0.99,logistic,1e-18,10000,0.183761102139076
3d4f38045b,5.02,13119.6,13119.7,118.392,  Preset timeout reached,101,101,101,0.99,2017-10-17 18:18:57,55,0.05,0.99,logistic,1e-18,10000,0.186243488379133
3a2a18b23a,4.62,7302.49,10003.2,0.0424326,  Preset timeout reached,101,101,101,0.99,2017-10-17 18:55:20,44,0.05,0.99,logistic,1e-18,10000,0.0790448591108847
394f38045b,4.31,5015.95,10002.2,0.0335592,  Preset timeout reached,101,101,101,0.99,2017-10-17 19:37:35,51,0.05,0.99,logistic,1e-18,10000,0.0364699605087573
384f38045b,4.43,3176.29,10006.9,0.0148538,  Preset timeout reached,101,101,101,0.99,2017-10-17 19:48:37,50,0.05,0.99,logistic,1e-18,10000,0.0231707942567196
374f38045b,4.72,7020.6,10005,0.0182024,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:36:51,49,0.05,0.99,logistic,1e-18,10000,0.0748821398176374
3b4f38045b,4.78,11754.68,11754.8,3309.65,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:46:29,53,0.05,0.99,logistic,1e-18,10000,0.2
3c4f38045b,4.84,11835.17,11835.2,1729,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:16:19,54,0.05,0.99,logistic,1e-18,10000,0.169351088766788
3d3eca3da2,4.9,10837.52,10837.6,609.396,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:28:41,63,0.05,0.99,logistic,1e-18,10000,0.142726766399136
3e4f38045b,5,11920.42,11920.5,1185.09,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:38:04,56,0.05,0.99,logistic,1e-18,10000,0.2
383eca3da2,4.69,8196.15,10025.7,0.101944,  Preset timeout reached,101,101,101,0.99,2017-10-17 22:44:37,58,0.05,0.99,logistic,1e-18,10000,0.0900094808250574
3a4f38045b,4.48,13328.63,13328.8,3696.21,  Preset timeout reached,101,101,101,0.99,2017-10-17 22:46:15,52,0.05,0.99,logistic,1e-18,10000,0.2
393eca3da2,4.55,12215.67,12215.8,3653.75,  Preset timeout reached,101,101,101,0.99,2017-10-17 23:09:49,59,0.05,0.99,logistic,1e-18,10000,0.2
3b3eca3da2,4.7,4646.41,10012.8,0.128917,  Preset timeout reached,101,101,101,0.99,2017-10-17 23:41:36,61,0.05,0.99,logistic,1e-18,10000,0.18221130384587
3c3eca3da2,4.6,4465.12,10008.2,0.108683,  Preset timeout reached,101,101,101,0.99,2017-10-18 00:11:25,62,0.05,0.99,logistic,1e-18,10000,0.2
373eca3da2,4.89,12813.73,12814,50.6758,  Preset timeout reached,101,101,101,0.99,2017-10-18 00:19:25,57,0.05,0.99,logistic,1e-18,10000,0.159358723384016
3d43102cc1,4.53,6549.85,10000.1,0.0186473,  Preset timeout reached,101,101,101,0.99,2017-10-18 00:24:28,71,0.05,0.99,logistic,1e-18,10000,0.0639586526092578
3e3eca3da2,4.48,4172.26,10048.9,0.0103477,  Preset timeout reached,101,101,101,0.99,2017-10-18 00:34:39,64,0.05,0.99,logistic,1e-18,10000,0.0318494332623312
3843102cc1,4.67,5049.31,10006.3,0.0236945,  Preset timeout reached,101,101,101,0.99,2017-10-18 01:40:52,66,0.05,0.99,logistic,1e-18,10000,0.0430449439108473
3a3eca3da2,4.73,5208.17,10004.1,0.163813,  Preset timeout reached,101,101,101,0.99,2017-10-18 01:41:30,60,0.05,0.99,logistic,1e-18,10000,0.2
3943102cc1,4.48,2964.04,10032.7,0.0114994,  Preset timeout reached,101,101,101,0.99,2017-10-18 02:05:38,67,0.05,0.99,logistic,1e-18,10000,0.0190003719640533
3b43102cc1,4.58,4677.48,10019.4,0.0136396,  Preset timeout reached,101,101,101,0.99,2017-10-18 02:37:46,69,0.05,0.99,logistic,1e-18,10000,0.0333294058462413
3c43102cc1,4.18,2098.75,10002,0.00532358,  Preset timeout reached,101,101,101,0.99,2017-10-18 03:05:33,70,0.05,0.99,logistic,1e-18,10000,0.00967865191198979
3743102cc1,4.55,3719.74,10016.8,0.0154298,  Preset timeout reached,101,101,101,0.99,2017-10-18 03:15:29,65,0.05,0.99,logistic,1e-18,10000,0.0280323646392955
3d94f62da,4.7,6231.27,10008.9,0.0272352,  Preset timeout reached,101,101,101,0.99,2017-10-18 03:20:54,79,0.05,0.99,logistic,1e-18,10000,0.0557718096562125
3e43102cc1,4.47,4403.37,10001.7,0.023102,  Preset timeout reached,101,101,101,0.99,2017-10-18 03:30:43,72,0.05,0.99,logistic,1e-18,10000,0.0368580742566925
3894f62da,4.56,2917.82,10032,0.0205931,  Preset timeout reached,101,101,101,0.99,2017-10-18 04:36:53,74,0.05,0.99,logistic,1e-18,10000,0.0207950029595403
3a43102cc1,4.81,6513.95,10014.6,0.0177348,  Preset timeout reached,101,101,101,0.99,2017-10-18 04:38:04,68,0.05,0.99,logistic,1e-18,10000,0.0657621805052742
3994f62da,4.68,8636.4,10002.4,0.0334389,  Preset timeout reached,101,101,101,0.99,2017-10-18 05:02:02,75,0.05,0.99,logistic,1e-18,10000,0.0839025906007627
3b94f62da,4.56,3883.73,10028.6,0.00180918,  Preset timeout reached,101,101,101,0.99,2017-10-18 05:34:04,77,0.05,0.99,logistic,1e-18,10000,0.0294521536947047
3794f62da,4.62,4048.39,10068,0.0228666,  Preset timeout reached,101,101,101,0.99,2017-10-18 06:12:34,73,0.05,0.99,logistic,1e-18,10000,0.0318550883050864
