id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,Ind,sigma_m,discount.1,model,precision,timeout,mean_G
3d61adda6f,5.06,6305.16,6463.57,-4.24236e-06,  target precision reached,101,101,101,0.99,2017-10-17 20:41:33,7,0.1,0.99,logistic,1e-18,10000,0.0772092787075659
3861adda6f,5.01,8074.2,10034.2,1.02767,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:40:33,2,0.1,0.99,logistic,1e-18,10000,0.0813336129963083
3761adda6f,4.74,2189.67,10149.3,0.0126453,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:40:34,1,0.1,0.99,logistic,1e-18,10000,0.00944072907729831
3e61adda6f,5.15,6952.27,10031.1,1.64319,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:40:37,8,0.1,0.99,logistic,1e-18,10000,0.0687954503886526
3b61adda6f,4.94,5019.2,10031.4,0.169993,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:40:55,5,0.1,0.99,logistic,1e-18,10000,0.0436954232172776
3a61adda6f,4.94,6014.45,10038.9,0.415462,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:40:57,4,0.1,0.99,logistic,1e-18,10000,0.0560780252853417
3c61adda6f,4.72,4374.61,10222,0.0959186,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:43:39,6,0.1,0.99,logistic,1e-18,10000,0.0343507412565261
3961adda6f,5.16,13686.14,13686.4,3854.12,  Preset timeout reached,101,101,101,0.99,2017-10-17 22:41:05,3,0.1,0.99,logistic,1e-18,10000,0.19956465915994
3d62949c0a,4.58,3117.12,10019.6,0.035122,  Preset timeout reached,101,101,101,0.99,2017-10-17 23:37:31,15,0.1,0.99,logistic,1e-18,10000,0.0224893587630375
3962949c0a,4.99,6045.86,6121.98,-0.00280913,  target precision reached,101,101,101,0.99,2017-10-18 00:32:35,11,0.1,0.99,logistic,1e-18,10000,0.158496560592887
3e62949c0a,4.81,3681.47,10088.5,0.0289706,  Preset timeout reached,101,101,101,0.99,2017-10-18 00:38:00,16,0.1,0.99,logistic,1e-18,10000,0.025129856818508
3b62949c0a,5.08,4538.91,10091.9,0.943142,  Preset timeout reached,101,101,101,0.99,2017-10-18 00:38:29,13,0.1,0.99,logistic,1e-18,10000,0.2
3862949c0a,4.86,12323.5,12323.8,2490.51,  Preset timeout reached,101,101,101,0.99,2017-10-18 01:15:10,10,0.1,0.99,logistic,1e-18,10000,0.2
3762949c0a,5.2,12337.12,12337.5,3.46942,  Preset timeout reached,101,101,101,0.99,2017-10-18 01:16:08,9,0.1,0.99,logistic,1e-18,10000,0.155312362863595
3c62949c0a,4.95,13289.65,13289.9,3537.59,  Preset timeout reached,101,101,101,0.99,2017-10-18 01:34:00,14,0.1,0.99,logistic,1e-18,10000,0.2
3a62949c0a,5.16,15409.51,15409.7,3048.24,  Preset timeout reached,101,101,101,0.99,2017-10-18 02:07:17,12,0.1,0.99,logistic,1e-18,10000,0.196049015040022
3944ccf7cd,5.08,6811.55,6923.18,-0.00149233,  target precision reached,101,101,101,0.99,2017-10-18 02:37:17,19,0.1,0.99,logistic,1e-18,10000,0.160258990661988
3d44ccf7cd,4.81,10772.21,10772.4,12.7764,  Preset timeout reached,101,101,101,0.99,2017-10-18 02:46:14,23,0.1,0.99,logistic,1e-18,10000,0.121176943867485
3844ccf7cd,4.9,5139.58,5199.84,-0.00144747,  target precision reached,101,101,101,0.99,2017-10-18 02:51:09,18,0.1,0.99,logistic,1e-18,10000,0.158152299003819
3e44ccf7cd,4.26,2012.23,10048.1,0.00829038,  Preset timeout reached,101,101,101,0.99,2017-10-18 03:32:25,24,0.1,0.99,logistic,1e-18,10000,0.00615435697251301
3b44ccf7cd,4.78,5627.81,10147.3,0.23253,  Preset timeout reached,101,101,101,0.99,2017-10-18 03:36:59,21,0.1,0.99,logistic,1e-18,10000,0.0516046081157025
3d6d35a87a,5.22,4034.18,4089.23,-0.000882219,  target precision reached,101,101,101,0.99,2017-10-18 04:04:02,31,0.1,0.99,logistic,1e-18,10000,0.123405472660197
3744ccf7cd,4.57,3651.88,10103.2,0.0398741,  Preset timeout reached,101,101,101,0.99,2017-10-18 04:13:15,17,0.1,0.99,logistic,1e-18,10000,0.0247916254365487
3c44ccf7cd,4.61,4388.94,10019.9,0.0683852,  Preset timeout reached,101,101,101,0.99,2017-10-18 04:30:11,22,0.1,0.99,logistic,1e-18,10000,0.0332077502961313
3a44ccf7cd,4.92,12401.56,12401.8,3076.39,  Preset timeout reached,101,101,101,0.99,2017-10-18 05:42:45,20,0.1,0.99,logistic,1e-18,10000,0.2
386d35a87a,5.06,9190.95,10052.8,1.34117,  Preset timeout reached,101,101,101,0.99,2017-10-18 05:48:23,26,0.1,0.99,logistic,1e-18,10000,0.0912748156372943
396d35a87a,4.93,13107.66,13107.8,2482.47,  Preset timeout reached,101,101,101,0.99,2017-10-18 06:24:42,27,0.1,0.99,logistic,1e-18,10000,0.16652934318235
3e6d35a87a,5.14,10226.61,10226.8,0.308155,  Preset timeout reached,101,101,101,0.99,2017-10-18 06:32:29,32,0.1,0.99,logistic,1e-18,10000,0.122411898343732
3b6d35a87a,4.77,8278.12,10016.5,1.25498,  Preset timeout reached,101,101,101,0.99,2017-10-18 06:33:30,29,0.1,0.99,logistic,1e-18,10000,0.0765296036853771
3d737acb0e,4.86,9089.89,10002.8,18.3987,  Preset timeout reached,101,101,101,0.99,2017-10-18 06:59:38,39,0.1,0.99,logistic,1e-18,10000,0.2
376d35a87a,4.53,4166.67,10062.2,0.0618637,  Preset timeout reached,101,101,101,0.99,2017-10-18 07:10:02,25,0.1,0.99,logistic,1e-18,10000,0.0283703149467668
3c6d35a87a,4.45,2648.14,10030.5,0.0197393,  Preset timeout reached,101,101,101,0.99,2017-10-18 07:25:07,30,0.1,0.99,logistic,1e-18,10000,0.0138754941526735
3a6d35a87a,4.7,2685.45,10006.2,0.0638129,  Preset timeout reached,101,101,101,0.99,2017-10-18 08:37:42,28,0.1,0.99,logistic,1e-18,10000,0.0177220741042267
