id,load_time_sec,init_time_sec,run_time_sec,final_precision,end_condition,n_states,n_obs,n_actions,discount,date,Ind,sigma_m,discount.1,model,precision,timeout,mean_G
3f4b401add,4.92,6405.66,6605.89,-0.00114685,  target precision reached,101,101,101,0.99,2017-10-17 19:40:26,7,0.2,0.99,logistic,1e-18,10000,0.0772092787075659
394b401add,4.5,2298.25,10047.3,0.0546352,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:35:27,1,0.2,0.99,logistic,1e-18,10000,0.00944072907729831
3c4b401add,4.79,6253.72,10038.7,2.24489,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:38:00,4,0.2,0.99,logistic,1e-18,10000,0.0560780252853417
3e4b401add,4.79,4550.66,10116.4,0.603084,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:39:07,6,0.2,0.99,logistic,1e-18,10000,0.0343507412565261
3a4b401add,5.14,8512.3,10538.7,4.48753,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:46:15,2,0.2,0.99,logistic,1e-18,10000,0.0813336129963083
3d4b401add,4.84,5191.78,10597.8,1.07815,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:46:41,5,0.2,0.99,logistic,1e-18,10000,0.0436954232172776
404b401add,4.87,7068.01,11134.9,4.3688,  Preset timeout reached,101,101,101,0.99,2017-10-17 20:56:00,8,0.2,0.99,logistic,1e-18,10000,0.0687954503886526
3b4b401add,5.15,13564.66,13565,3589.31,  Preset timeout reached,101,101,101,0.99,2017-10-17 21:35:55,3,0.2,0.99,logistic,1e-18,10000,0.19956465915994
3f3c6e4c90,4.92,3319.96,10034.5,0.17807,  Preset timeout reached,101,101,101,0.99,2017-10-17 22:36:14,15,0.2,0.99,logistic,1e-18,10000,0.0224893587630375
3b3c6e4c90,5.15,5726.2,5825.26,-0.00204659,  target precision reached,101,101,101,0.99,2017-10-17 23:22:28,11,0.2,0.99,logistic,1e-18,10000,0.158496560592887
3d3c6e4c90,4.81,4697.59,10645,9.2454,  Preset timeout reached,101,101,101,0.99,2017-10-17 23:52:59,13,0.2,0.99,logistic,1e-18,10000,0.2
403c6e4c90,4.74,3646.67,10142.1,0.168932,  Preset timeout reached,101,101,101,0.99,2017-10-17 23:53:48,16,0.2,0.99,logistic,1e-18,10000,0.025129856818508
3a3c6e4c90,5.13,12201.85,12202.5,2225.53,  Preset timeout reached,101,101,101,0.99,2017-10-18 00:18:42,10,0.2,0.99,logistic,1e-18,10000,0.2
